Date,Gold,Inflation,Exchnage_rate,Petrochemical,Oil,dominant_score
2022-01-31,30.6,-0.0013,3.7514,68.599998,30.702478,1
2022-02-01,30.633333,0.0023,3.747554,67.800003,30.950413,1
2022-02-02,30.6,0.0055000000000000005,3.747144,67.900002,30.826447,1
2022-02-03,30.733334,-0.006500000000000001,3.747318,67.5,30.454544,1
2022-02-06,30.666666,0.011699999999999999,3.747318,67.099998,30.165289,0
2022-02-07,31.033333,0.0064,3.7513,68.099998,30.413223,0
2022-02-08,31.200001,-0.0083,3.747332,69.0,30.619835,1
2022-02-09,31.0,0.0116,3.747296,68.099998,30.785124,1
2022-02-10,31.333332,0.0,3.746996,67.699997,30.578512,0
2022-02-13,31.333332,-0.016,3.746996,68.0,30.867767,0
2022-02-14,30.733334,0.011000000000000001,3.7511,66.400002,30.619835,1
2022-02-15,31.1,-0.0013,3.74775,67.0,30.743801,0
2022-02-16,31.166666,0.024700000000000003,3.74793,66.900002,30.826447,0
2022-02-17,31.933332,0.0345,3.747957,67.400002,31.198347,0
2022-02-20,33.033333,-0.031200000000000002,3.747957,66.599998,31.115702,1
2022-02-21,32.066666,0.022799999999999997,3.7516,66.0,31.157024,0
2022-02-23,32.799999,-0.0031,3.7513,66.699997,32.438015,0
2022-02-24,31.833332,0.019299999999999998,3.747335,65.699997,33.347107,0
2022-02-27,35.333332,0.0472,3.747335,67.5,34.173553,1
2022-02-28,35.0,0.023,3.7509,66.699997,33.884296,1
2022-03-01,35.533333,0.009300000000000001,3.747204,68.599998,34.29752,1
2022-03-02,35.933334,0.0334,3.747377,69.800003,34.380165,0
2022-03-03,37.599998,0.0665,3.74711,70.099998,35.950413,1
2022-03-06,40.0,0.0285,3.74711,71.5,37.190083,1
2022-03-07,41.466667,0.0638,3.7516,74.0,37.603306,0
2022-03-08,43.333332,-0.0152,3.747559,72.0,37.190083,1
2022-03-09,42.599998,-0.031400000000000004,3.747307,72.400002,37.107437,1
2022-03-10,41.133331,-0.0177,3.747037,71.0,35.206612,1
2022-03-13,40.666664,0.0067,3.747037,70.099998,33.966942,1
2022-03-14,41.0,-0.0279,3.7511,69.599998,32.892563,1
2022-03-15,39.400002,-0.0687,3.746898,68.199997,32.066116,1
2022-03-16,37.400002,0.0992,3.745669,67.599998,32.231403,1
